Date,Close,High,Low,Open,Volume
31-Jan-92,9.4375,9.625,9.125,9.625,4804600
3-Feb-92,9.75,9.75,9.25,9.25,4500600
4-Feb-92,10.3125,10.375,9.9375,10,5950200
5-Feb-92,10.625,10.75,10.375,10.4375,5523800
6-Feb-92,10.0625,10.6875,9.9375,10.625,3505000
7-Feb-92,10.125,10.1875,9.9375,10.0625,2201800
10-Feb-92,10.375,10.4375,10.1875,10.25,1153000
11-Feb-92,10.3125,10.4375,10.25,10.25,1251600
12-Feb-92,10.375,10.5625,10.375,10.5,3747200
13-Feb-92,10,10.3125,9.9375,10.3125,2988400
14-Feb-92,9.6875,9.875,9.5625,9.875,2583200
18-Feb-92,9.75,10.125,9.625,9.9375,2208600
19-Feb-92,9.625,9.75,9.5,9.6875,2338000
20-Feb-92,9.9375,10,9.6875,9.75,3155800
21-Feb-92,9.75,9.9375,9.6875,9.9375,1994400
24-Feb-92,9.5625,9.6875,8.9375,9.6875,3622400
25-Feb-92,9.625,10,9.4375,9.8125,3893200
26-Feb-92,9.125,9.5625,9.125,9.5,2345400
27-Feb-92,9,9.25,8.9375,9.1875,2865000
28-Feb-92,9.1875,9.375,9,9.0625,1158200
2-Mar-92,9.0625,9.1875,8.9375,9.125,1737000
3-Mar-92,8.9375,9.0625,8.875,9,2509800
4-Mar-92,8.625,8.9375,8.625,8.875,3154200
5-Mar-92,8.25,8.625,8.125,8.5,4003800
6-Mar-92,8.5625,8.5625,8.375,8.5,1902800
9-Mar-92,9,9,8.5625,8.625,1997000
10-Mar-92,9.125,9.375,9.0625,9.25,2083800
11-Mar-92,8.9375,9.1875,8.875,9.1875,1235400
12-Mar-92,8.8125,9.0625,8.6875,8.9375,1395200
13-Mar-92,8.9375,9,8.875,8.9375,835200
16-Mar-92,8.9375,9,8.75,8.9375,846600
17-Mar-92,9,9.125,8.9375,9,1371800
18-Mar-92,9.375,9.375,9,9.125,2123200
19-Mar-92,9.25,9.4375,9.1875,9.4375,608000
20-Mar-92,9.375,9.4375,9.125,9.3125,731600
23-Mar-92,9.375,9.375,9.25,9.375,507200
24-Mar-92,9.125,9.375,9.0625,9.3125,1399400
25-Mar-92,9.625,9.625,9.1875,9.1875,2900600
26-Mar-92,9.5625,9.8125,9.5,9.5625,1719400
27-Mar-92,8.75,9.5625,8.75,9.5625,3455000
30-Mar-92,8.6875,8.875,8.3125,8.75,3013800
31-Mar-92,8.875,8.9375,8.6875,8.6875,2160400
1-Apr-92,8.8125,8.875,8.625,8.8125,1215800
2-Apr-92,8.875,8.9375,8.8125,8.8125,836000
3-Apr-92,8.875,8.875,8.75,8.8125,738000
6-Apr-92,9.4375,9.4375,8.875,8.9375,2146200
7-Apr-92,8.8125,9.75,8.8125,9.75,6600000
8-Apr-92,8.8125,8.9375,8.4375,8.8125,4727800
9-Apr-92,8.5,8.9375,8.4375,8.8125,3166000
10-Apr-92,8.3125,8.625,8.1875,8.5625,3339200
13-Apr-92,8.3125,8.375,8.1875,8.1875,948800
14-Apr-92,8.6875,8.875,8.375,8.375,3402200
15-Apr-92,8.75,8.875,8.625,8.8125,1887800
16-Apr-92,8.4375,8.75,8.3125,8.75,1649600
20-Apr-92,8.1875,8.3125,7.9375,8.3125,2187400
21-Apr-92,8.1875,8.25,8.0625,8.1875,1118000
22-Apr-92,8,8.25,8,8.1875,1148800
23-Apr-92,7.5,8.125,7.4375,8.0625,3813600
24-Apr-92,7.5,7.6875,7.3125,7.5625,1792200
27-Apr-92,7.625,7.625,7.4375,7.4375,865000
28-Apr-92,7.75,7.9375,7.75,7.875,1767000
29-Apr-92,8.375,8.4375,7.8125,8.125,2392600
30-Apr-92,8.9375,8.9375,8.3125,8.3125,3119200
1-May-92,8.4375,8.875,8.3125,8.875,2238200
4-May-92,8.5,8.6875,8.375,8.5,841400
5-May-92,9,9.0625,8.5,8.5625,2509600
6-May-92,8.875,9.0625,8.8125,9,1718600
7-May-92,9,9.0625,8.8125,8.9375,1344200
8-May-92,8.9375,9.0625,8.875,9,812600
11-May-92,9.0625,9.125,8.8125,8.875,1196000
12-May-92,9,9.25,8.9375,9.25,1146200
